urlkey	url_key_copy	group_id	count
mapping	mapping	16967362	8
nature-photography	nature-photography	16967362	8
newintown	newintown	16967362	8
parents	parents	16967362	8
professional-singles	young-professional-singles	16967362	8
skeptics	skeptics	16967362	8
social-entrepreneurship	entrepreneurship-various	16967362	8
test-automation	test-automation	16967362	8
usability	usability	16967362	8
vegan	vegan	16967362	8
agile-project-management	agile-project-management	16967362	7
chinese-culture	chinese-culture	16967362	7
classical	classical	16967362	7
critique-group	critique-group	16967362	7
databasepro	databasepro	16967362	7
dog-walks	dog-walks	16967362	7
drumcircle	drumcircle	16967362	7
esl	esl	16967362	7
freethinker	freethinker	16967362	7
independent-filmmakers	independent-filmmakers	16967362	7
journalism	journalism	16967362	7
knitting	knitting	16967362	7
math	math	16967362	7
movie-nights	movie-nights	16967362	7
museum	museum	16967362	7
nature	nature	16967362	7
painting	painting	16967362	7
productdesign	productdesign	16967362	7
pyladies	pyladies	16967362	7
selenium	selenium	16967362	7
self-exploration	self-exploration	16967362	7
spanish	spanish	16967362	7
spatial-data	spatial-data	16967362	7
statistical-consulting	statistics-various	16967362	7
strategy-games	strategy-games	16967362	7
writing-workshops	writing-workshops	16967362	7
alternativeenergy	alternativeenergy	16967362	6
angularjs	angularjs	16967362	6
animals	animals	16967362	6
astronomy	astronomy	16967362	6
chess	chess	16967362	6
cognitive-science	cognitive-science	16967362	6
couples	couples	16967362	6
craft-beer	craft-beer	16967362	6
cultural-activities	cultural-activities	16967362	6
datamanagement	datamanagement	16967362	6
digital-marketing	digital-marketing	16967362	6
drupal	drupal	16967362	6
esri	esri	16967362	6
html	html-various	16967362	6
humanism	humanism	16967362	6
indiefilm	indiefilm	16967362	6
ios-development	ios-development	16967362	6
jvm-languages	jvm-languages	16967362	6
kayaking	kayaking	16967362	6
latino-culture	latino-culture	16967362	6
natural-language-processing	natural-language-processing	16967362	6
novel-writing	novel-writing	16967362	6
people-helping-people	people-helping-people	16967362	6
php-application-development	php-various	16967362	6
physics	physics	16967362	6
pickupsoccer	pickup-soccer	16967362	6
rockclimbing	rockclimbing	16967362	6
roleplaying-games-rpgs	role-playing-games-rpgs	16967362	6
screenwriters	screenwriters	16967362	6
singles	singles	16967362	6
small-business-marketing-strategy	business-various	16967362	6
software-qa-and-testing	software-qa-and-testing	16967362	6
weightloss	weightloss	16967362	6
yoga	yoga	16967362	6
acoustic-music	acoustic-music	16967362	5
acting	acting	16967362	5
animation	animation	16967362	5
authors	authors	16967362	5
aws-design-implementation-and-servicing	aws-design-implementation-and-servicing	16967362	5
django	django	16967362	5
draw	draw	16967362	5
gamedev	gamedev	16967362	5
gaypros	gaypros	16967362	5
girls-night-out	girls-night-out	16967362	5
indoor-rock-climbing	indoor-rock-climbing	16967362	5
information-technology	information-technology	16967362	5
jazz	jazz	16967362	5
landscape-photography	landscape-photography	16967362	5
lgbtfriends	lgbtfriends	16967362	5
local-activities	local-activities	16967362	5
modeling	modeling	16967362	5
newcareer	newcareer	16967362	5
nutrition	nutrition	16967362	5
offleash	offleash	16967362	5
photography-classes	photography-classes	16967362	5
playgroup	playgroup	16967362	5
quality-assurance	quality-assurance	16967362	5
running	running	16967362	5
soccer	soccer	16967362	5
socialnetwork	networking	16967362	5
space	space	16967362	5
spiritual-growth	spiritual-growth	16967362	5
statistical-computing	statistics-various	16967362	5
trail-running	trail-running	16967362	5
virtualization	virtualization	16967362	5
volunteering	volunteering	16967362	5
web-analytics	web-analytics	16967362	5
wordpress	wordpress	16967362	5
activism	activism	16967362	4
alternative-medicine	alternative-medicine	16967362	4
asianpros	asianpros	16967362	4
ballroomdance	dance-various	16967362	4
beer-lovers	beer-lovers	16967362	4
brunch	brunch	16967362	4
content-strategy	content-strategy	16967362	4
courses-and-workshops	courses-and-workshops	16967362	4
data-journalism	data-journalism	16967362	4
deep-learning	deep-learning	16967362	4
distributed-systems	distributed-systems	16967362	4
dogs	dogs	16967362	4
ec2	ec2	16967362	4
executive-coaching	executive-coaching	16967362	4
farmersmarket	farmersmarket	16967362	4
game-design	game-design	16967362	4
go	go	16967362	4
go-programming-language	go-programming-language	16967362	4
golang	golang	16967362	4
google-analytics	google-analytics	16967362	4
green-living	green-living	16967362	4
guitar	guitar	16967362	4
homeremodel	homeremodel	16967362	4
infographics	infographics	16967362	4
ios	ios	16967362	4
italian	italian	16967362	4
knowledge-sharing	knowledge-sharing	16967362	4
lampsoftware	lampsoftware	16967362	4
lgbt-social-group	lgbt-social-group	16967362	4
local-food	local-food	16967362	4
microcontroller	microcontroller	16967362	4
mongodb	mongodb	16967362	4
motivation	motivation	16967362	4
mountain-biking	mountain-biking	16967362	4
movies-in-movie-theaters	movies-in-movie-theaters	16967362	4
neuroscience	neuroscience	16967362	4
open-data	open-data	16967362	4
