urlkey,group_id,count
lgbtfriends,16967362,5
local-activities,16967362,5
modeling,16967362,5
newcareer,16967362,5
nutrition,16967362,5
offleash,16967362,5
photography-classes,16967362,5
playgroup,16967362,5
quality-assurance,16967362,5
running,16967362,5
soccer,16967362,5
socialnetwork,16967362,5
space,16967362,5
spiritual-growth,16967362,5
statistical-computing,16967362,5
trail-running,16967362,5
virtualization,16967362,5
volunteering,16967362,5
web-analytics,16967362,5
wordpress,16967362,5
activism,16967362,4
alternative-medicine,16967362,4
asianpros,16967362,4
ballroomdance,16967362,4
beer-lovers,16967362,4
brunch,16967362,4
content-strategy,16967362,4
courses-and-workshops,16967362,4
data-journalism,16967362,4
deep-learning,16967362,4
distributed-systems,16967362,4
dogs,16967362,4
ec2,16967362,4
executive-coaching,16967362,4
farmersmarket,16967362,4
game-design,16967362,4
go,16967362,4
go-programming-language,16967362,4
golang,16967362,4
google-analytics,16967362,4
green-living,16967362,4
guitar,16967362,4
homeremodel,16967362,4
infographics,16967362,4
ios,16967362,4
italian,16967362,4
knowledge-sharing,16967362,4
lampsoftware,16967362,4
lgbt-social-group,16967362,4
local-food,16967362,4
microcontroller,16967362,4
mongodb,16967362,4
motivation,16967362,4
mountain-biking,16967362,4
movies-in-movie-theaters,16967362,4
neuroscience,16967362,4
open-data,16967362,4
open-mic,16967362,4
permaculture,16967362,4
professional-women,16967362,4
projectmgmt,16967362,4
renewable-energy,16967362,4
russian,16967362,4
sailing,16967362,4
scala-programming,16967362,4
singers,16967362,4
software-engineering,16967362,4
song-writing,16967362,4
speed-dating,16967362,4
statistical-education,16967362,4
statistics-and-data-analysis,16967362,4
tableau,16967362,4
travel-photography,16967362,4
venture-capital,16967362,4
weekend-getaways,16967362,4
women-programmers,16967362,4
young-entrepreneur,16967362,4
accent-reduction,16967362,3
agnostic,16967362,3
android,16967362,3
billiards,16967362,3
biotechnology,16967362,3
book-writing,16967362,3
bouldering,16967362,3
business-analytics,16967362,3
canoe,16967362,3
cardmaking,16967362,3
cassandra,16967362,3
chinese-language,16967362,3
churchandstate,16967362,3
coed-soccer,16967362,3
collaboration,16967362,3
college-students,16967362,3
comedy,16967362,3
community,16967362,3
computer-graphics,16967362,3
conscious-movement,16967362,3
cooking-classes,16967362,3
culture,16967362,3
data-analysis,16967362,3
dinner,16967362,3
dinner-and-a-movie,16967362,3
dinner-and-drinks,16967362,3
dotnet,16967362,3
dv,16967362,3
electronic-dance-music,16967362,3
entertain,16967362,3
esl-practice,16967362,3
evolution,16967362,3
front-end-development,16967362,3
gay,16967362,3
gay-and-lesbian-friends,16967362,3
gay-singles,16967362,3
geographic-information-systems-gis,16967362,3
geolocation,16967362,3
geology,16967362,3
geospatial,16967362,3
green-entrepreneurs,16967362,3
hanging-out,16967362,3
haskell,16967362,3
hispanicpros,16967362,3
independent-game-development,16967362,3
information-security,16967362,3
it-professionals,16967362,3
lawofattraction,16967362,3
libertarian,16967362,3
life-sciences,16967362,3
lifetransform,16967362,3
localpolitics,16967362,3
locals-new-in-town,16967362,3
makerspaces,16967362,3
motorcycle-touring,16967362,3
nightlife,16967362,3
nude-photography,16967362,3
objective-c,16967362,3
organic-foods,16967362,3
outdoor-soccer,16967362,3
pets-animals,16967362,3
php-framework,16967362,3
portland-or,16967362,3
quantified-self,16967362,3
rawfood,16967362,3
real-estate-investors,16967362,3
ria,16967362,3
road-cycling,16967362,3
role-playing-games-rpgs,16967362,3
russian-culture,16967362,3
saas-software-as-a-service,16967362,3
semweb,16967362,3
sensors,16967362,3
singles-30s-50s,16967362,3
small-business-owners,16967362,3
social-media-marketing,16967362,3
socratescafe,16967362,3
software-quality,16967362,3
sportsfans,16967362,3
sql,16967362,3
support,16967362,3
surfing,16967362,3
tabletop-role-playing-and-board-games,16967362,3
tennis,16967362,3
ui-design,16967362,3
vegetarian,16967362,3
vintage,16967362,3
visualization,16967362,3
webcomm,16967362,3
womens-empowerment,16967362,3
wordpress-customization,16967362,3
3d-artists,16967362,2
3d-printing,16967362,2
active-parents,16967362,2
activities,16967362,2
africanmusic,16967362,2
algorithmic-trading,16967362,2
all-forms-of-javascript,16967362,2
alternative-lifestyles,16967362,2
android-development-training,16967362,2
angular,16967362,2
animalrights,16967362,2
anime,16967362,2
apache-spark,16967362,2
artificial-intelligence-applications,16967362,2
artificial-intelligence-machine-learning-robotics,16967362,2
aws-programming-and-tools,16967362,2
backcountry-skiing,16967362,2
badminton,16967362,2
basics-of-iphone-app-development,16967362,2
beach,16967362,2
bicycle-touring,16967362,2
bilingual-spanish-english,16967362,2
bitcoin,16967362,2
blogs,16967362,2
bollywood-films,16967362,2
bouldering-and-rock-climbing,16967362,2
bowling,16967362,2
britcoms,16967362,2
buddhist,16967362,2
bunco,16967362,2
burningman,16967362,2
career-network,16967362,2
charity-events,16967362,2
christianmin,16967362,2
clubbing,16967362,2
coffee-lovers,16967362,2
coffee-tea-while-knitting,16967362,2
cognitive-neuroscience,16967362,2
collage,16967362,2
community-gardening,16967362,2
communityorg,16967362,2
confidence-and-self-esteem,16967362,2
conservation,16967362,2
content-development,16967362,2
content-management,16967362,2
continuous-deployment,16967362,2
continuous-integration,16967362,2
cosplay,16967362,2
coursera-org,16967362,2
creative-freelancers,16967362,2
crocheting,16967362,2
csharp,16967362,2
css3,16967362,2
cultural-diversity,16967362,2
currentevents,16967362,2
data,16967362,2
data-analysis-and-modeling,16967362,2
dating-over-35,16967362,2
devops,16967362,2
digital-media,16967362,2
dog-play-groups,16967362,2
drinking,16967362,2
drones,16967362,2
ecommerce-technology,16967362,2
economics,16967362,2
ecstatic-dance,16967362,2
elasticsearch,16967362,2
emerging-robotic-technologies,16967362,2
energy-healing,16967362,2
english-language,16967362,2
espanol,16967362,2
expat-french-french-speakers,16967362,2
expatfrench,16967362,2
exploring-new-restaurants,16967362,2
f-programming,16967362,2
families,16967362,2
filmind,16967362,2
fine-arts,16967362,2
